Caso,Tamaño_m,Tamaño_n,TiempoFB (ns),Resultado FB,TiempoDP (ns),Resultado DP
Aleatorio,0,0,100,0,2000,0
Aleatorio,0,1,100,1,2100,1
Aleatorio,0,2,100,2,2000,2
Aleatorio,0,3,100,3,2000,3
Aleatorio,0,4,100,4,2100,4
Aleatorio,0,5,100,5,2100,5
Aleatorio,0,6,100,6,2200,6
Aleatorio,0,7,100,7,2700,7
Aleatorio,0,8,100,8,2100,8
Aleatorio,0,9,0,9,2400,9
Aleatorio,0,10,100,10,2300,10
Aleatorio,0,11,100,11,2100,11
Aleatorio,0,12,100,12,2100,12
Aleatorio,1,0,100,1,3000,1
Aleatorio,1,1,300,2,2100,2
Aleatorio,1,2,300,3,5400,3
Aleatorio,1,3,400,4,2800,4
Aleatorio,1,4,400,5,2600,5
Aleatorio,1,5,400,6,32800,6
Aleatorio,1,6,300,7,2300,7
Aleatorio,1,7,400,8,1900,8
Aleatorio,1,8,500,7,1800,7
Aleatorio,1,9,600,10,1800,10
Aleatorio,1,10,500,9,29300,9
Aleatorio,1,11,800,12,2400,12
Aleatorio,1,12,600,13,2500,13
Aleatorio,2,0,100,2,2300,2
Aleatorio,2,1,400,3,6600,3
Aleatorio,2,2,600,4,3400,4
Aleatorio,2,3,900,5,2800,5
Aleatorio,2,4,1200,6,2800,6
Aleatorio,2,5,1700,7,2900,7
Aleatorio,2,6,2100,6,3400,6
Aleatorio,2,7,2700,9,3400,9
Aleatorio,2,8,3500,10,3400,10
Aleatorio,2,9,4200,9,3700,9
Aleatorio,2,10,4900,12,3600,12
Aleatorio,2,11,6100,11,3800,11
Aleatorio,2,12,7800,12,5400,12
Aleatorio,3,0,100,3,3400,3
Aleatorio,3,1,400,4,6200,4
Aleatorio,3,2,900,5,3400,5
Aleatorio,3,3,1700,4,1900,4
Aleatorio,3,4,3200,7,3100,7
Aleatorio,3,5,5200,8,2000,8
Aleatorio,3,6,8100,9,3100,9
Aleatorio,3,7,12400,8,2500,8
Aleatorio,3,8,17400,9,4500,9
Aleatorio,3,9,24300,10,4500,10
Aleatorio,3,10,29900,9,4700,9
Aleatorio,3,11,41800,12,3100,12
Aleatorio,3,12,54400,13,3100,13
Aleatorio,4,0,0,4,1600,4
Aleatorio,4,1,400,5,1800,5
Aleatorio,4,2,1100,6,1900,6
Aleatorio,4,3,3100,5,2400,5
Aleatorio,4,4,7000,6,2300,6
Aleatorio,4,5,13700,7,2100,7
Aleatorio,4,6,25600,8,5100,8
Aleatorio,4,7,45700,11,4600,11
Aleatorio,4,8,75800,10,4000,10
Aleatorio,4,9,116600,13,5000,13
Aleatorio,4,10,173200,14,5900,14
Aleatorio,4,11,244700,13,3400,13
Aleatorio,4,12,353500,16,4800,16
Aleatorio,5,0,100,5,2600,5
Aleatorio,5,1,400,6,1900,6
Aleatorio,5,2,1500,5,1900,5
Aleatorio,5,3,5200,6,2200,6
Aleatorio,5,4,14700,9,4000,9
Aleatorio,5,5,34500,8,3400,8
Aleatorio,5,6,74800,11,4000,11
Aleatorio,5,7,174400,9,8200,9
Aleatorio,5,8,264400,9,6100,9
Aleatorio,5,9,434000,10,5800,10
Aleatorio,5,10,723600,13,6100,13
Aleatorio,5,11,1206000,14,7400,14
Aleatorio,5,12,1635700,15,5900,15
Aleatorio,6,0,100,6,3100,6
Aleatorio,6,1,600,7,2000,7
Aleatorio,6,2,2100,8,2300,8
Aleatorio,6,3,8400,9,2300,9
Aleatorio,6,4,27700,10,2500,10
Aleatorio,6,5,128600,9,5800,9
Aleatorio,6,6,173900,8,4900,8
Aleatorio,6,7,381100,9,4100,9
Aleatorio,6,8,789800,10,4900,10
Aleatorio,6,9,1533000,13,4200,13
Aleatorio,6,10,2494700,10,6800,10
Aleatorio,6,11,4229400,15,4200,15
Aleatorio,6,12,6956600,14,7600,14
Aleatorio,7,0,100,7,3200,7
Aleatorio,7,1,500,8,3100,8
Aleatorio,7,2,2700,9,3600,9
Aleatorio,7,3,11700,6,4000,6
Aleatorio,7,4,44700,9,4700,9
Aleatorio,7,5,164200,12,5000,12
Aleatorio,7,6,408800,11,4800,11
Aleatorio,7,7,944800,14,5000,14
Aleatorio,7,8,2406900,13,8100,13
Aleatorio,7,9,4881300,14,7100,14
Aleatorio,7,10,7865800,15,7000,15
Aleatorio,7,11,14646900,14,6200,14
Aleatorio,7,12,26311900,15,9200,15
Aleatorio,8,0,100,8,3300,8
Aleatorio,8,1,11200,7,15500,7
Aleatorio,8,2,25700,8,3200,8
Aleatorio,8,3,53400,9,4300,9
Aleatorio,8,4,77700,8,3500,8
Aleatorio,8,5,267500,11,3600,11
Aleatorio,8,6,847700,12,4300,12
Aleatorio,8,7,2090100,13,5200,13
Aleatorio,8,8,4963400,14,7300,14
Aleatorio,8,9,11681400,11,7300,11
Aleatorio,8,10,23867600,16,11600,16
Aleatorio,8,11,45114800,13,14800,13
Aleatorio,8,12,88265800,16,14000,16
Aleatorio,9,0,200,9,6800,9
Aleatorio,9,1,1600,10,8600,10
Aleatorio,9,2,4200,11,4100,11
Aleatorio,9,3,23900,10,4200,10
Aleatorio,9,4,113000,11,4500,11
Aleatorio,9,5,441700,12,5000,12
Aleatorio,9,6,1678100,13,6700,13
Aleatorio,9,7,4188300,14,6500,14
Aleatorio,9,8,11675700,13,7800,13
Aleatorio,9,9,27026900,16,7500,16
Aleatorio,9,10,63367100,15,17300,15
Aleatorio,9,11,123121600,16,15700,16
Aleatorio,9,12,260694200,17,16300,17
Aleatorio,10,0,0,10,3500,10
Aleatorio,10,1,600,11,3900,11
Aleatorio,10,2,32200,10,3800,10
Aleatorio,10,3,30400,11,3600,11
Aleatorio,10,4,159500,12,3600,12
Aleatorio,10,5,743900,11,5500,11
Aleatorio,10,6,2544300,10,5200,10
Aleatorio,10,7,8299700,13,6600,13
Aleatorio,10,8,23281400,14,9100,14
Aleatorio,10,9,59602800,15,9200,15
Aleatorio,10,10,155545800,16,17900,16
Aleatorio,10,11,384279500,19,17800,19
Aleatorio,10,12,742456400,18,16900,18
Aleatorio,11,0,100,11,3500,11
Aleatorio,11,1,700,10,2700,10
Aleatorio,11,2,5700,11,3400,11
Aleatorio,11,3,41100,12,3400,12
Aleatorio,11,4,236000,11,4100,11
Aleatorio,11,5,1069800,12,5500,12
Aleatorio,11,6,4609800,15,6200,15
Aleatorio,11,7,15694100,16,7200,16
Aleatorio,11,8,45874300,15,8400,15
Aleatorio,11,9,129164300,16,9100,16
Aleatorio,11,10,419359100,15,17400,15
Aleatorio,11,11,877180200,18,18300,18
Aleatorio,11,12,2253150700,19,19800,19
Aleatorio,12,0,100,12,4300,12
Aleatorio,12,1,900,11,4000,11
Aleatorio,12,2,8400,10,5700,10
Aleatorio,12,3,62500,15,4800,15
Aleatorio,12,4,426800,12,6400,12
Aleatorio,12,5,2075200,15,6700,15
Aleatorio,12,6,8585500,14,9400,14
Aleatorio,12,7,32255300,17,10200,17
Aleatorio,12,8,103157900,16,12800,16
Aleatorio,12,9,354718600,17,19600,17
Aleatorio,12,10,921538300,16,19400,16
Aleatorio,12,11,2322243700,21,20500,21
Aleatorio,12,12,5013678200,20,16800,20
Palindromo,0,0,100,0,1900,0
Palindromo,0,1,0,1,700,1
Palindromo,0,2,0,2,700,2
Palindromo,0,3,0,3,600,3
Palindromo,0,4,100,4,600,4
Palindromo,0,5,100,5,600,5
Palindromo,0,6,100,6,600,6
Palindromo,0,7,100,7,700,7
Palindromo,0,8,100,8,700,8
Palindromo,0,9,100,9,700,9
Palindromo,0,10,100,10,600,10
Palindromo,0,11,0,11,600,11
Palindromo,0,12,0,12,700,12
Palindromo,1,0,100,1,900,1
Palindromo,1,1,200,2,1200,2
Palindromo,1,2,200,3,1000,3
Palindromo,1,3,200,4,900,4
Palindromo,1,4,200,5,900,5
Palindromo,1,5,300,6,1000,6
Palindromo,1,6,300,7,900,7
Palindromo,1,7,300,8,1600,8
Palindromo,1,8,400,9,1100,9
Palindromo,1,9,400,10,1200,10
Palindromo,1,10,500,11,1200,11
Palindromo,1,11,500,12,1300,12
Palindromo,1,12,500,13,1300,13
Palindromo,2,0,100,2,1400,2
Palindromo,2,1,200,3,1200,3
Palindromo,2,2,400,4,1200,4
Palindromo,2,3,700,5,1300,5
Palindromo,2,4,900,6,1300,6
Palindromo,2,5,1300,7,1500,7
Palindromo,2,6,1800,8,1500,8
Palindromo,2,7,2900,9,3700,9
Palindromo,2,8,2900,10,2600,10
Palindromo,2,9,3800,9,2100,9
Palindromo,2,10,4500,12,2000,12
Palindromo,2,11,5400,13,2000,13
Palindromo,2,12,6400,14,2200,14
Palindromo,3,0,0,3,1100,3
Palindromo,3,1,300,4,1300,4
Palindromo,3,2,900,5,2400,5
Palindromo,3,3,1600,6,1900,6
Palindromo,3,4,2800,7,1800,7
Palindromo,3,5,5000,8,1900,8
Palindromo,3,6,8000,7,2200,7
Palindromo,3,7,11900,10,2100,10
Palindromo,3,8,16400,7,2400,7
Palindromo,3,9,23300,12,2400,12
Palindromo,3,10,31800,13,2400,13
Palindromo,3,11,37500,10,3100,10
Palindromo,3,12,52200,15,2900,15
Palindromo,4,0,100,4,1300,4
Palindromo,4,1,300,5,1500,5
Palindromo,4,2,1100,6,1600,6
Palindromo,4,3,2900,7,1900,7
Palindromo,4,4,6600,8,2000,8
Palindromo,4,5,13900,9,2300,9
Palindromo,4,6,26400,10,2400,10
Palindromo,4,7,46300,11,2500,11
Palindromo,4,8,86000,12,7600,12
Palindromo,4,9,119200,9,3600,9
Palindromo,4,10,166300,14,3400,14
Palindromo,4,11,238900,11,3800,11
Palindromo,4,12,337000,16,4800,16
Palindromo,5,0,0,5,1800,5
Palindromo,5,1,300,6,1700,6
Palindromo,5,2,1400,7,2600,7
Palindromo,5,3,4800,8,2300,8
Palindromo,5,4,14300,9,2300,9
Palindromo,5,5,33900,8,2700,8
Palindromo,5,6,71600,7,2900,7
Palindromo,5,7,155200,10,3400,10
Palindromo,5,8,249400,9,3800,9
Palindromo,5,9,441800,14,4800,14
Palindromo,5,10,738900,15,5000,15
Palindromo,5,11,1064000,12,5600,12
Palindromo,5,12,1655000,17,4300,17
Palindromo,6,0,0,6,1600,6
Palindromo,6,1,16800,7,12800,7
Palindromo,6,2,2100,4,3600,4
Palindromo,6,3,36200,7,3400,7
Palindromo,6,4,27300,10,3000,10
Palindromo,6,5,82600,11,7500,11
Palindromo,6,6,190700,12,3500,12
Palindromo,6,7,408100,13,4500,13
Palindromo,6,8,795200,10,5200,10
Palindromo,6,9,1447700,11,5400,11
Palindromo,6,10,2484800,12,5400,12
Palindromo,6,11,4599400,13,8100,13
Palindromo,6,12,6833600,18,7300,18
Palindromo,7,0,0,7,2700,7
Palindromo,7,1,500,8,2000,8
Palindromo,7,2,2500,7,2300,7
Palindromo,7,3,11300,10,2400,10
Palindromo,7,4,41700,9,2900,9
Palindromo,7,5,145000,12,3700,12
Palindromo,7,6,391200,13,4700,13
Palindromo,7,7,882100,14,5100,14
Palindromo,7,8,1923500,15,5200,15
Palindromo,7,9,3875600,12,5400,12
Palindromo,7,10,8060600,17,5100,17
Palindromo,7,11,14300500,14,7600,14
Palindromo,7,12,24415200,15,9100,15
Palindromo,8,0,100,8,23100,8
Palindromo,8,1,700,9,3400,9
Palindromo,8,2,3300,10,2900,10
Palindromo,8,3,21400,11,3100,11
Palindromo,8,4,71600,12,4300,12
Palindromo,8,5,275700,9,4100,9
Palindromo,8,6,742600,14,4700,14
Palindromo,8,7,1955300,11,5000,11
Palindromo,8,8,5389400,16,7300,16
Palindromo,8,9,10959900,17,6900,17
Palindromo,8,10,23325400,18,6800,18
Palindromo,8,11,46181900,19,13000,19
Palindromo,8,12,84911900,16,14300,16
Palindromo,9,0,100,9,3100,9
Palindromo,9,1,700,10,2500,10
Palindromo,9,2,4200,11,3200,11
Palindromo,9,3,23400,12,2800,12
Palindromo,9,4,101600,9,3400,9
Palindromo,9,5,435200,12,4400,12
Palindromo,9,6,1488700,15,4400,15
Palindromo,9,7,4212200,16,4500,16
Palindromo,9,8,11638500,9,10400,9
Palindromo,9,9,27872500,14,8400,14
Palindromo,9,10,60875700,15,12500,15
Palindromo,9,11,131831100,18,15700,18
Palindromo,9,12,260578800,17,17100,17
Palindromo,10,0,100,10,4300,10
Palindromo,10,1,700,9,2800,9
Palindromo,10,2,4800,12,3200,12
Palindromo,10,3,30200,11,3300,11
Palindromo,10,4,190300,10,5800,10
Palindromo,10,5,739200,15,5300,15
Palindromo,10,6,2629200,12,6100,12
Palindromo,10,7,8348400,9,6200,9
Palindromo,10,8,23596500,18,8300,18
Palindromo,10,9,61506600,15,9300,15
Palindromo,10,10,151086800,16,15300,16
Palindromo,10,11,334831900,17,17200,17
Palindromo,10,12,847275800,14,18300,14
Palindromo,11,0,100,11,3500,11
Palindromo,11,1,800,12,3100,12
Palindromo,11,2,6300,9,3800,9
Palindromo,11,3,45800,14,3900,14
Palindromo,11,4,291900,15,4600,15
Palindromo,11,5,1461900,16,8800,16
Palindromo,11,6,4842100,13,7400,13
Palindromo,11,7,17116300,14,8500,14
Palindromo,11,8,50768400,15,10600,15
Palindromo,11,9,147445500,16,16000,16
Palindromo,11,10,450891200,21,18600,21
Palindromo,11,11,1095187000,18,19500,18
Palindromo,11,12,2188565200,19,15900,19
Palindromo,12,0,100,12,3100,12
Palindromo,12,1,700,13,3800,13
Palindromo,12,2,6800,14,4600,14
Palindromo,12,3,53200,15,5100,15
Palindromo,12,4,318900,12,7000,12
Palindromo,12,5,1614800,17,5500,17
Palindromo,12,6,6799000,12,7600,12
Palindromo,12,7,25247200,19,7600,19
Palindromo,12,8,87963200,20,9600,20
Palindromo,12,9,243660700,9,15200,9
Palindromo,12,10,731224400,18,15700,18
Palindromo,12,11,2327865400,15,17400,15
Palindromo,12,12,5419154700,16,19500,16
Repetidos,0,0,100,0,2700,0
Repetidos,0,1,0,1,1000,1
Repetidos,0,2,0,2,900,2
Repetidos,0,3,0,3,900,3
Repetidos,0,4,100,4,900,4
Repetidos,0,5,100,5,900,5
Repetidos,0,6,0,6,900,6
Repetidos,0,7,100,7,900,7
Repetidos,0,8,0,8,1000,8
Repetidos,0,9,0,9,900,9
Repetidos,0,10,100,10,900,10
Repetidos,0,11,100,11,2400,11
Repetidos,0,12,0,12,1300,12
Repetidos,1,0,100,1,2700,1
Repetidos,1,1,300,2,2000,2
Repetidos,1,2,300,3,1900,3
Repetidos,1,3,200,4,1500,4
Repetidos,1,4,300,5,1400,5
Repetidos,1,5,300,6,1200,6
Repetidos,1,6,300,7,1400,7
Repetidos,1,7,300,8,1400,8
Repetidos,1,8,400,9,1500,9
Repetidos,1,9,500,10,1500,10
Repetidos,1,10,500,11,1500,11
Repetidos,1,11,500,12,1600,12
Repetidos,1,12,700,13,1700,13
Repetidos,2,0,0,2,1600,2
Repetidos,2,1,200,3,1600,3
Repetidos,2,2,500,4,2000,4
Repetidos,2,3,800,5,1800,5
Repetidos,2,4,1100,6,1700,6
Repetidos,2,5,1500,7,1900,7
Repetidos,2,6,2000,8,1900,8
Repetidos,2,7,2600,9,2000,9
Repetidos,2,8,3300,10,2200,10
Repetidos,2,9,4100,11,2400,11
Repetidos,2,10,4900,12,2400,12
Repetidos,2,11,6000,13,2400,13
Repetidos,2,12,6800,14,2500,14
Repetidos,3,0,100,3,1500,3
Repetidos,3,1,400,4,1700,4
Repetidos,3,2,800,5,1900,5
Repetidos,3,3,1800,0,2200,0
Repetidos,3,4,3200,7,2100,7
Repetidos,3,5,5400,8,2200,8
Repetidos,3,6,8200,9,4300,9
Repetidos,3,7,13100,10,3500,10
Repetidos,3,8,18500,11,2800,11
Repetidos,3,9,26300,12,2900,12
Repetidos,3,10,35100,13,3100,13
Repetidos,3,11,46400,14,3500,14
Repetidos,3,12,98000,15,3800,15
Repetidos,4,0,0,4,3400,4
Repetidos,4,1,300,5,2100,5
Repetidos,4,2,1100,6,2100,6
Repetidos,4,3,3100,7,2300,7
Repetidos,4,4,7500,0,2800,0
Repetidos,4,5,15400,9,2700,9
Repetidos,4,6,29400,10,2800,10
Repetidos,4,7,49100,11,3000,11
Repetidos,4,8,79600,12,3300,12
Repetidos,4,9,137500,13,3600,13
Repetidos,4,10,223400,14,3800,14
Repetidos,4,11,299600,15,3900,15
Repetidos,4,12,400900,16,4100,16
Repetidos,5,0,0,5,2400,5
Repetidos,5,1,500,6,3400,6
Repetidos,5,2,1700,7,3800,7
Repetidos,5,3,5500,8,3000,8
Repetidos,5,4,15700,9,2800,9
Repetidos,5,5,78800,10,3300,10
Repetidos,5,6,83900,11,3300,11
Repetidos,5,7,170100,12,3700,12
Repetidos,5,8,331900,13,3900,13
Repetidos,5,9,525400,14,4200,14
Repetidos,5,10,826100,15,4400,15
Repetidos,5,11,1228300,16,4600,16
Repetidos,5,12,2028100,17,5100,17
Repetidos,6,0,0,6,2300,6
Repetidos,6,1,600,7,4600,7
Repetidos,6,2,2500,8,3500,8
Repetidos,6,3,10000,9,3200,9
Repetidos,6,4,29400,10,3000,10
Repetidos,6,5,79400,11,3300,11
Repetidos,6,6,218300,0,4400,0
Repetidos,6,7,482100,13,4700,13
Repetidos,6,8,897800,14,4300,14
Repetidos,6,9,1577900,15,4400,15
Repetidos,6,10,2985200,16,5100,16
Repetidos,6,11,4750800,17,5200,17
Repetidos,6,12,7999100,18,8100,18
Repetidos,7,0,100,7,2700,7
Repetidos,7,1,600,8,2700,8
Repetidos,7,2,2700,9,2800,9
Repetidos,7,3,13500,10,3200,10
Repetidos,7,4,49000,11,5000,11
Repetidos,7,5,242700,12,7000,12
Repetidos,7,6,571000,13,5600,13
Repetidos,7,7,1315500,14,5500,14
Repetidos,7,8,2957800,15,6100,15
Repetidos,7,9,6132100,16,7200,16
Repetidos,7,10,11900800,17,11300,17
Repetidos,7,11,20702200,18,10900,18
Repetidos,7,12,36361900,19,12500,19
Repetidos,8,0,100,8,5400,8
Repetidos,8,1,700,7,5200,7
Repetidos,8,2,4500,10,6100,10
